Surrey Quays|-0.046055836|51.49282777|2
Swiss Cottage|-0.173237239|51.54319998|2
Sydenham|-0.052652564|51.42659082|3
Temple|-0.112643564|51.5104742|1
Theobalds Grove|-0.033083485|51.69180047|7
Therapia Lane|-0.127515047|51.38515495|S
Theydon Bois|0.104967288|51.67133739|6
Tooting Bec|-0.15763366|51.4353811|3
Tooting Broadway|-0.166791248|51.42715702|3
Tottenham Court Road|-0.128897348|51.51594793|1
Tottenham Hale|-0.058547162|51.58754655|3
Totteridge & Whetstone|-0.177599794|51.63009248|4
Tower Gateway|-0.073061976|51.51011047|1
Tower Hill|-0.074913869|51.50943419|1
Tufnell Park|-0.136858377|51.5563398|2
Turkey Street|-0.045735795|51.67186641|6
Turnham Green|-0.252958803|51.494448|2/3
Turnpike Lane|-0.101359413|51.58975112|3
Upminster|0.252767235|51.55857711|6
Upminster Bridge|0.237476635|51.55798569|6
Upney|0.103187503|51.53784406|4
Upper Holloway|-0.127532858|51.56303879|2
Upton Park|0.036836325|51.53487026|3
Uxbridge|-0.4760666|51.54596187|6
Vauxhall|-0.122646146|51.48518446|1/2
Victoria|-0.141485017|51.49588954|1
Waddon Marsh|-0.116278811|51.37647839|S
Walthamstow Central|-0.019895332|51.58261626|3
Walthamstow Queen's Road|-0.022254511|51.58097129|3
Wandle Park|-0.111770014|51.37293871|S
Wandsworth Road|-0.136926893|51.46943062|2
Wanstead|0.030247766|51.57509659|4
Wanstead Park|0.027694662|51.55118604|3
Wapping|-0.054345515|51.50386599|2
Warren Street|-0.136735811|51.52401887|1
Warwick Avenue|-0.182005998|51.52269118|2
Waterloo|-0.112818812|51.50291418|1
Watford|-0.415832512|51.65699167|7
Watford High Street|-0.390612987|51.6519637|8
Watford Junction|-0.394615064|51.6634936|S
Wellesley Road|-0.095978591|51.37499854|S
Wembley Central|-0.295237517|51.55177912|4
Wembley Park|-0.278458638|51.56325938|4
West Acton|-0.279364414|51.51747345|3
West Brompton|-0.193973832|51.48676791|2
West Croydon|-0.101229704|51.37780543|5
West Ealing|-0.3198|51.5135|3
West Finchley|-0.186738929|51.60898928|4
West Ham|0.00590508|51.52776913|2/3
West Hampstead|-0.188568627|51.54629707|2
West Harrow|-0.351706569|51.57906815|5
West India Quay|-0.018586106|51.50697183|2
West Kensington|-0.203860054|51.49027946|2
West Ruislip|-0.436073394|51.56913097|6
West Silvertown|0.023940282|51.50237959|3
Westbourne Park|-0.199554267|51.52041239|2
Westferry|-0.025301528|51.50899182|2
Westminster|-0.124052209|51.50045311|1
White City|-0.222866489|51.51170695|2
White Hart Lane|-0.069256013|51.60447174|3
Whitechapel|-0.05838503|51.51901529|2
Willesden Green|-0.221119357|51.54886838|2/3
Willesden Junction|-0.242978972|51.5318981|2/3
Wimbledon|-0.204921053|51.42091587|3
Wimbledon Park|-0.19749098|51.43353749|3
Wood Green|-0.108246806|51.5969712|3
Wood Lane|-0.221994162|51.50963208|2
Wood Street|-0.000741221|51.58600285|4
Woodford|0.035640856|51.60635963|4
Woodgrange Park|0.045631091|51.54871611|3/4
Woodside|-0.063965962|51.38645328|S
Woodside Park|-0.183907004|51.61758971|4
Woolwich Arsenal|0.070492592|51.48946942|4
